movieId,title,joined_features
540,Sliver (1993),sharonstone williambaldwin tomberenger iralevin masturbation voyeurism hidden camera erotic thriller thriller 
541,Blade Runner (1982),nan nan nan action sci-fi thriller 
542,Son in Law (1993),paulyshore carlagugino lanesmith patrickj.clifton fish out of water farm college thanksgiving comedy drama romance 
543,So I Married an Axe Murderer (1993),mikemyers nancytravis anthonylapaglia robbiefox poet coffeehouse butcher scottish accent comedy romance thriller 
544,Striking Distance (1993),brucewillis sarahjessicaparker dennisfarina rowdyherrington serial killer river pittsburgh pennsylvania grudge action crime 
546,Super Mario Bros. (1993),bobhoskins johnleguizamo dennishopper rockymorton plumber dinosaur italian american based on video game action adventure children comedy fantasy sci-fi 
547,Surviving the Game (1994),ice-t rutgerhauer charless.dutton ericbernt human prey most dangerous game homeless man survival action adventure thriller 
548,Terminal Velocity (1994),charliesheen nastassjakinski jamesgandolfini davidtwohy skydiving ejector seat murder of a woman wisecrack humor action mystery thriller 
549,Thirty-Two Short Films About Glenn Gould (1993),colmfeore derekkeurvorst katyaladan françoisgirard piano glenn gould no opening credits yehudi menuhin drama musical 
550,Threesome (1994),laraflynnboyle stephenbaldwin joshcharles andrewfleming menage a trois roommate rear entry sex woman in shower comedy romance 
551,"Nightmare Before Christmas, The (1993)",dannyelfman chrissarandon catherineo'hara timburton christmas movie christmas halloween gothic animation children fantasy musical 
552,"Three Musketeers, The (1993)",charliesheen kiefersutherland chriso'donnell alexandredumas eyepatch held at swordpoint reference to the three musketeers father son relationship action adventure comedy romance 
553,Tombstone (1993),kurtrussell valkilmer samelliott kevinjarre wyatt earp character two gun holster double gun holster tucson arizona action drama western 
554,Trial by Jury (1994),joannewhalley armandassante gabrielbyrne jordankatz mob boss neo noir female killer witness crime drama thriller 
555,True Romance (1993),christianslater patriciaarquette dennishopper quentintarantino drugs cocaine pimp aspiring actor crime thriller 
556,"War Room, The (1993)",jamescarville georgestephanopoulos heatherbeckel d.a.pennebaker primary election on the road campaign presidential campaign documentary 
558,"Pagemaster, The (1994)",macaulayculkin kaninhowell alexiskirschner joejohnston rain thunder lightning bicycle action adventure animation children fantasy 
559,"Paris, France (1993)",lesliehope peterouterbridge victorertmanis jerryciccoritti pubic hair male pubic hair wife has sex in front of husband husband and wife have sex with the same man comedy 
560,"Beans of Egypt, Maine, The (1994)",marthaplimpton kellylynch rutgerhauer jenniferwarren woman wears a man's shirt poverty f rated rural setting drama 
561,Killer (Bulletproof Heart) (1994),anthonylapaglia mimirogers mattcraven markmalone woman on top interrupted sex seductive flirtatious drama thriller 
562,Welcome to the Dollhouse (1995),heathermatarazzo victoriadavis christinabrucato toddsolondz school social outcast first crush bullying comedy drama 
563,Germinal (1993),miou-miou renaud jeancarmet claudeberri period drama mine owner mine coal drama romance 
564,Chasers (1994),tomberenger williammcnamara erikaeleniak joebatteer female nudity handcuffs public nudity removing panties comedy 
565,Cronos (1993),federicoluppi ronperlman claudiobrook guillermodeltoro eternal life antique dealer invention statue drama horror 
566,Naked in New York (1994),ericstoltz mary-louiseparker ralphmacchio danielalgrant jew jewish best friend squirrel comedy romance 
567,Kika (1993),verónicaforqué petercoyote victoriaabril pedroalmodóvar tabloid journalism escaped prisoner serial killer suicide note comedy drama 
568,Bhaji on the Beach (1993),kimvithana jimmiharkishin saritakhajuria gurinderchadha england f rated generation gap seaside comedy drama 
569,Little Big League (1994),lukeedwards timothybusfield johnashton gregoryk.pincus comiskey park chicago metrodome minneapolis minnesota twins baseball comedy drama 
570,"Slingshot, The (Kådisbellan) (1993)",jespersalén stellanskarsgård basiafrydman åkesandgren condom nose bandage corporal punishment anti semitism comedy drama 
571,"Wedding Gift, The (1994)",juliewalters jimbroadbent thorahird richardloncraine novelist disease degenerative disease blackout drama romance 
572,Foreign Student (1994),robingivens marcohofschneider rickjohnson philippelabro french france virginia college drama 
573,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",paolovillaggio isadanieli gigiomorra alessandrobencivenni teacher school f rated title directed by female drama 
574,Spanking the Monkey (1994),jeremydavies albertawatson benjaminhendrickson davido.russell mother son incest black comedy three word title jumping off cliff comedy drama 
575,"Little Rascals, The (1994)",travistedford kevinjamalwoods jordanwarkol penelopespheeris nightmare club boy girl children comedy 
576,Fausto (1993),kênhigelin jeanyanne florencedarel rémyduchemin lightheartedness female nudity female full frontal nudity comedy 
577,Andre (1994),tinamajorino chelseafield shanemeier harrygoodridge fisherman harbor master seal the animal year 1962 adventure children drama 
579,"Escort, The (Scorta, La) (1993)",claudioamendola enricoloverso carlocecchi grazianodiana tension policeman politics italian politics crime thriller 
580,Princess Caraboo (1994),jimbroadbent phoebecates wendyhughes michaelaustin princess 19th century england fraud drama 
581,"Celluloid Closet, The (1995)",lilytomlin tonycurtis susiebright jeffreyfriedman gay lesbian reference to eve arden reference to bette davis documentary 
582,Métisse (Café au Lait) (1993),juliemauduech hubertkoundé mathieukassovitz mathieukassovitz black muslim diplomat jewish messenger comedy drama 
583,Dear Diary (Caro Diario) (1994),nannimoretti giovannabozzolo sebastianonardone nannimoretti italy anthology film omnibus film portmanteau film comedy drama 
584,I Don't Want to Talk About It (De eso no se habla) (1993),marcellomastroianni luisinabrando alejandrapodesta maríaluisabemberg f rated title directed by female argentina drama romance 
585,"Brady Bunch Movie, The (1995)",shelleylong garycole christinetaylor sherwoodschwartz 1990s 1970s high school remake comedy 
586,Home Alone (1990),nan nan nan children comedy 
587,Ghost (1990),nan nan nan comedy drama fantasy romance thriller 
588,Aladdin (1992),scottweinger robinwilliams lindalarkin johnmusker arab genie genie character princess adventure animation children comedy musical 
589,Terminator 2: Judgment Day (1991),arnoldschwarzenegger lindahamilton edwardfurlong jamescameron time travel liquid metal future sequel action sci-fi 
590,Dances with Wolves (1990),nan nan nan adventure drama western 
591,Tough and Deadly (1995),billyblanks roddypiper richardnorton stevecohen interracial relationship fistfight fight brawl action drama thriller 
592,Batman (1989),nan nan nan action crime thriller 
593,"Silence of the Lambs, The (1991)",jodiefoster lawrencea.bonney kasilemmons thomasharris serial killer psycho thriller bad guy wins stuck in a well crime horror thriller 
594,Snow White and the Seven Dwarfs (1937),nan nan nan animation children drama fantasy musical 
595,Beauty and the Beast (1991),robbybenson jessecorti rexeverhart kirkwise france rose castle chauvinism animation children fantasy musical romance imax 
596,Pinocchio (1940),nan nan nan animation children fantasy musical 
597,Pretty Woman (1990),richardgere juliaroberts ralphbellamy j.f.lawton hotel falling in love with a prostitute prostitute blockbuster comedy romance 
598,Window to Paris (Okno v Parizh) (1994),agnèssoral sergeydreyden viktormikhailov yurimamin saint petersburg russia apartment vodka violence comedy fantasy 
599,"Wild Bunch, The (1969)",nan nan nan adventure western 
600,Love and a .45 (1994),gilbellows renéezellweger rorycochrane c.m.talkington pay phone 1990s murder mexico action comedy crime 
601,"Wooden Man's Bride, The (Yan shen) (1994)",shihchang lanwang yumeiwang jianxinhuang 1920s drama 
602,"Great Day in Harlem, A (1994)",quincyjones dizzygillespie sonnyrollins jeanbach photograph jazz esquire magazine f rated documentary 
603,"Bye Bye, Love (1995)",matthewmodine randyquaid paulreiser garydavidgoldberg product placement junk food crap poison comedy 
604,Criminals (1996),louisesmith c.k.williams nan documentary 
605,One Fine Day (1996),michellepfeiffer georgeclooney maewhitman terrelseltzer architect one day single mother reporter drama romance 
606,Candyman: Farewell to the Flesh (1995),tonytodd kellyrowan williamo'leary clivebarker frame up stabbing a woman five word title color in title fantasy horror 
607,Century (1993),charlesdance cliveowen mirandarichardson stephenpoliakoff science doctor urban setting morality drama 
608,Fargo (1996),williamh.macy stevebuscemi peterstormare ethancoen black comedy botched crime neo noir americana comedy crime drama thriller 
609,Homeward Bound II: Lost in San Francisco (1996),michaelj.fox sallyfield ralphwaite chrishauty talking dog talking cat lost dog lost cat adventure children 
610,Heavy Metal (1981),nan nan nan action adventure animation horror sci-fi 
611,Hellraiser: Bloodline (1996),bruceramsay valentinavargas dougbradley peteratkins 22nd century sequel puzzle box outer space action horror sci-fi 
612,"Pallbearer, The (1996)",davidschwimmer gwynethpaltrow michaelrapaport jasonkatims dark humor pallbearer funeral directorial debut comedy 
613,Jane Eyre (1996),annapaquin nicknight nicolahoward francozeffirelli character name as title aunt teacher boarding school drama romance 
614,Loaded (1994),olivermilburn dearbhlamolloy dannycunningham annacampion male frontal nudity male nudity male rear nudity amateur filmmakers drama thriller 
615,Bread and Chocolate (Pane e cioccolata) (1973),nan nan nan comedy drama 
616,"Aristocats, The (1970)",nan nan nan animation children 
617,"Flower of My Secret, The (La flor de mi secreto) (1995)",marisaparedes juanechanove carmeelias pedroalmodóvar seductive female stockinged feet pantyhose mother daughter relationship comedy drama 
618,Two Much (1995),antoniobanderas melaniegriffith darylhannah donalde.westlake neo screwball comedy fictional twin wedding sister sister relationship comedy romance 
619,Ed (1996),mattleblanc geneross paulhewitt kenrichards one word title animal character name as title rookie men's locker room comedy 
620,Scream of Stone (Cerro Torre: Schrei aus Stein) (1991),vittoriomezzogiorno stefanglowacz mathildamay hans-ulrichklenner patagonia mountaineer mountaineering climbing drama 
621,My Favorite Season (1993),catherinedeneuve danielauteuil marthevillalonga andrétéchiné three word title first person title male objectification male rear nudity drama 
623,"Modern Affair, A (1995)",lisaeichhorn stanleytucci carolineaaron vernoakley nan romance 
625,Asfour Stah (1990),nan nan nan drama 
626,"Thin Line Between Love and Hate, A (1996)",martinlawrence lynnwhitfield reginaking martinlawrence independent film revenge dating african american comedy 
627,"Last Supper, The (1995)",camerondiaz roneldard annabethgish danrosen dead body burried in the backyard dinner iowa dinner party drama thriller 
628,Primal Fear (1996),richardgere lauralinney johnmahoney williamdiehl altar boy murder trial courtroom stuttering crime drama mystery thriller 
629,Rude (1995),mauricedeanwint rachaelcrawford clarkjohnson clementvirgo easter gay bashing abortion artist drama 
630,Carried Away (1996),dennishopper amylocane amyirving brunobarreto sex scene bare chested male kissing while having sex farm drama romance 
631,All Dogs Go to Heaven 2 (1996),ernestborgnine bebeneuwirth charliesheen paulsabella good versus evil human dog relationship animal protagonist animal hero adventure animation children fantasy musical romance 
632,Land and Freedom (Tierra y libertad) (1995),ianhart rosanapastor icíarbollaín jimallen communist spain fascist spanish civil war drama war 
633,Denise Calls Up (1995),timdaly caroleenfeeney dangunther halsalwen telephone masturbation male nudity answering machine comedy 
634,Theodore Rex (1995),whoopigoldberg arminmueller-stahl julietlandau jonathanr.betuel nightmare exploding car genocide child kidnapping comedy 
635,"Family Thing, A (1996)",robertduvall jamesearljones michaelbeach richardpearce letter matriarch childbirth arkansas comedy drama 
636,Frisk (1995),michaelgunther craigchester michaelstock toddverow pubic hair male pubic hair male nudity nudity drama 
637,Sgt. Bilko (1996),stevemartin danaykroyd philhartman nathiken man wearing a uniform woman wearing a uniform 1990s sergeant comedy 
638,Jack and Sarah (1995),richarde.grant samanthamathis judidench timsullivan baby nanny lawyer homeless man romance 
639,Girl 6 (1996),theresarandle isaiahwashington spikelee suzan-loriparks bare breasts close up of mouth want ad woman wearing red lingerie comedy drama 
640,Diabolique (1996),sharonstone isabelleadjani chazzpalminteri pierreboileau stockings woman on top dead body in a bathtub dead body in a car drama thriller 
641,"Little Indian, Big City (Un indien dans la ville) (1994)",thierrylhermitte patricktimsit ludwigbriand hervépalud blowpipe eiffel tower partner mafia adventure children comedy 
642,Roula (1995),anicadobra felicitasgrimm-luck martinumbach martinenlen holiday denmark girl self harm drama 
643,Peanuts - Die Bank zahlt alles (1996),ulrichmühe irisberben maritamarschall eberhardjunkersdorf farce white collar crime comedy 
644,Happy Weekend (1996),erikgoertz antonrattinger dieterwardetzky edherzog penis obsession group sex bisexuality comedy 
645,Nelly & Monsieur Arnaud (1995),emmanuellebéart michelserrault jean-huguesanglade jacquesfieschi character names as title older man young woman friendship rich man poor woman paris france drama 
647,Courage Under Fire (1996),denzelwashington megryan loudiamondphillips patricksheaneduncan unreliable flashback military life bravery f rated action crime drama war 
648,Mission: Impossible (1996),tomcruise jonvoight emmanuellebéart brucegeller ethan hunt character based on tv show famous score train action adventure mystery thriller 
649,Cold Fever (Á köldum klaka) (1995),masatoshinagase lilitaylor fisherstevens friðrikþórfriðriksson iceland japanese tradition hawaii comedy drama 
650,Moll Flanders (1996),robinwright morganfreeman stockardchanning pendensham lust priest prostitute painter drama 
651,"Superweib, Das (1996)",estherschweins tilschweiger marenkroymann sönkewortmann hot sex scene sexy farce comedy 
652,"301, 302 (301/302) (1995)",eun-jinpang sin-hyehwang chu-ryunkim cheol-supark woman wears eyeglasses writer neighbor apartment horror mystery thriller 
653,Dragonheart (1996),dennisquaid davidthewlis petepostlethwaite patrickreadjohnson dragon king knight human dragon relationship action adventure fantasy 
654,And Nobody Weeps for Me (Und keiner weint mir nach) (1996),peterketnath ninahoss steffenschroeder josephvilsmaier 1930s love munich germany 1920s drama romance 
655,My Mother's Courage (Mutters Courage) (1995),georgetabori paulinecollins ulrichtukur michaelverhoeven broken ankle head dunked in a toilet auschwitz deportation comedy 
656,Eddie (1996),whoopigoldberg franklangella dennisfarina stevezacharias limousine limousine driver new york city horse comedy 
657,Yankee Zulu (1994),leonschuster johnmatshikiza wilsondunster grayhofmeyr chase friendship capture elephant comedy drama 
658,Billy's Holiday (1995),maxcullen krismcquade tinabursill richardwherrett band singer singing song drama musical 
659,Purple Noon (Plein soleil) (1960),nan nan nan crime drama thriller 
660,August (1996),anthonyhopkins lesliephillips kateburton anthonyhopkins wales older man younger woman relationship rural setting marriage drama 
661,James and the Giant Peach (1996),simoncallow richarddreyfuss janeleeves roalddahl boy real person becomes animated child labor child slavery adventure animation children fantasy musical 
662,Fear (1996),markwahlberg reesewitherspoon williampetersen christophercrowe fatal attraction teenage girl bikini blue eyes thriller 
663,Kids in the Hall: Brain Candy (1996),davefoley brucemcculloch kevinmcdonald normhiscock scientist pharmaceuticals side effect pharmaceutical company comedy 
664,Faithful (1996),cher chazzpalminteri ryano'neal chazzpalminteri attempted suicide female protagonist kitchen flashback comedy 
665,Underground (1995),predrag'miki'manojlovic lazarristovski mirjanajokovic dusankovacevic magical realism communism zoo black comedy comedy drama war 
666,All Things Fair (Lust och fägring stor) (1995),johanwiderberg marikalagercrantz tomasvonbrömssen bowiderberg teacher student relationship teacher student sex older woman teenage boy relationship syphilis drama romance war 
667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),danielbernhardt patmorita donaldgibb philiptan kumite torture opening action scene chop socky action 
668,Song of the Little Road (Pather Panchali) (1955),nan nan nan drama 
670,"World of Apu, The (Apur Sansar) (1959)",nan nan nan drama 
671,Mystery Science Theater 3000: The Movie (1996),tracebeaulieu michaelj.nelson jimmallon jimmallon outer space mad scientist b movie number in title comedy sci-fi 
672,Tarantella (1995),mirasorvino rosegregorio matthewlillard helendemichiel f rated photography friendship drama 
673,Space Jam (1996),michaeljordan wayneknight theresarandle leobenvenuti year 1973 micheal jordan character baseball ball bowling ball adventure animation children comedy fantasy sci-fi 
674,Barbarella (1968),nan nan nan adventure comedy sci-fi 
675,Hostile Intentions (1994),tiacarrere riggkennedy lisadeanryan catherinecyran police corruption tijuana mexico rape nudity action drama thriller 
676,They Bite (1996),donnafrotscher nickbaldasare christinaveronica brettpiper low budget film satire cult film monster comedy horror sci-fi 
678,Some Folks Call It a Sling Blade (1993),billybobthornton mollyringwald j.t.walsh georgehickenlooper cult film sexist cross dresser precursor to motion picture drama thriller 
679,"Run of the Country, The (1995)",albertfinney mattkeeslar victoriasmurfit shaneconnaughton ireland rural setting teenager male female relationship drama 
680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",nan nan nan drama mystery romance sci-fi thriller 
681,Coup de torchon (Clean Slate) (1981),nan nan nan crime 
682,Tigrero: A Film That Was Never Made (1994),samuelfuller jimjarmusch mikakaurismäki river culture brazil journey documentary drama 
683,"Eye of Vichy, The (Oeil de Vichy, L') (1993)",michelbouquet briancox maquisardalfonso claudechabrol nazi collaborator french resistance anti semitism world war two documentary 
684,Windows (1980),nan nan nan drama 
685,It's My Party (1996),margaretcho brucedavison leegrant randalkleiser suicide gay lead character aids homosexual drama 
687,Country Life (1994),samneill gretascacchi johnhargreaves michaelblakemore australia cat based on novel drama romance 
688,Operation Dumbo Drop (1995),dannyglover rayliotta denisleary jamesmorris asian elephant riding an elephant reference to elephant reference to an elephant action adventure comedy war 
690,"Promise, The (Versprechen, Das) (1995)",meretbecker corinnaharfouch anianzollner margarethevontrotta f rated german democratic republic title directed by female sex drama romance 
691,Mrs. Winterbourne (1996),shirleymaclaine rickilake brendanfraser richardbenjamin ring train compartment hospital wedding comedy romance 
692,Solo (1996),mariovanpeebles barrycorbin williamsadler norbertobarba military android artificial intelligence super strength action sci-fi thriller 
693,Under the Domim Tree (Etz Hadomim Tafus) (1994),gilaalmagor kaipucohen julianomer-khamis gilaalmagor coming of age teenager sequel drama 
694,"Substitute, The (1996)",tomberenger raymondcruz williamforsythe royfrumkes high school drugs gang mercenary action crime drama 
695,True Crime (1996),aliciasilverstone kevindillon billnunn patverducci mentor catholic school case teenage girl mystery thriller 
696,Butterfly Kiss (1995),amandaplummer kathyjamieson saskiareeves michaelwinterbottom woman assaults a man gasoline station gasoline station attendant england drama thriller 
697,Feeling Minnesota (1996),keanureeves camerondiaz vincentd'onofrio stevenbaigelman las vegas nevada elopement motel framed for murder drama romance 
698,Delta of Venus (1995),audieengland costasmandylor ericdasilva anaïsnin sexually dissatisfied wife female author blindfolded woman female full frontal nudity drama 
699,To Cross the Rubicon (1991),patriciaroyce lorrainedevonwilke jdsouther lorrainedevonwilke nan drama 
700,Angus (1995),perryanzilotti kathybates robertcurtisbrown chriscrutcher based on short story independent film character name as title pubic hair comedy 
701,Daens (1992),jandecleir gérarddesarthe antjedeboeck stijnconinx christian democrat labor union class differences liberation theology drama 
702,Faces (1968),nan nan nan drama 
703,Boys (1996),winonaryder lukashaas johnc.reilly stacycochran preparatory school f rated teenager teenage boy drama 
704,"Quest, The (1996)",jean-claudevandamme rogermoore jamesremar frankdux martial arts tournament orphan golden dragon lost city action adventure 
705,Cosi (1996),benmendelsohn barryotto tonicollette markjoffe electrician storytelling stutter drug rehabilitation comedy 
706,Sunset Park (1996),rheaperlman fredrostarr carolkane sethzvirosenfeld female coach basketball ball locker room basketball player drama 
707,Mulholland Falls (1996),nicknolte melaniegriffith chazzpalminteri peterdexter neo noir murder military 1950s crime drama thriller 
708,"Truth About Cats & Dogs, The (1996)",umathurman janeanegarofalo benchaplin audreywells friendship between women veterinarian radio show host love triangle comedy romance 
709,Oliver & Company (1988),nan nan nan adventure animation children comedy musical 
710,Celtic Pride (1996),damonwayans danielstern danaykroyd juddapatow sports fan kidnapping basketball boston celtics comedy 
711,Flipper (1996),elijahwood paulhogan jonathanbanks ricoubrowning florida keys male protagonist animal character name as title flipper character adventure children 
712,Captives (1994),juliaormond timroth keithallen angelapope ripped pantyhose hare krishna police officer female police officer crime drama romance thriller 
713,Of Love and Shadows (1994),antoniobanderas jenniferconnelly stefaniasandrelli isabelallende chile lust dictatorship based on novel drama 
714,Dead Man (1995),johnnydepp garyfarmer crispinglover jimjarmusch revisionist western neo noir arthouse wanted poster drama mystery western 
715,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",juliettebinoche oliviermartinez pierrearditi jeangiono period drama austrian police provence drama romance 
716,Switchblade Sisters (1975),nan nan nan crime 
717,Mouth to Mouth (Boca a boca) (1995),javierbardem aitanasánchez-gijón josepmariaflotats manuelgómezpereira neo screwball comedy reference to robert de niro reference to konstantin stanislavski actor comedy 
718,"Visitors, The (Visiteurs, Les) (1993)",christianclavier jeanreno valérielemercier christianclavier time travel year 1123 12th century 20th century comedy fantasy sci-fi 
719,Multiplicity (1996),michaelkeaton andiemacdowell zackduhame chrismiller construction site husband wife relationship yuppie scientist comedy 
720,Wallace & Gromit: The Best of Aardman Animation (1996),nan nan nan adventure animation comedy 
721,Halfmoon (Paul Bowles - Halbmond) (1995),samirguesmi khaledksouri sondosbelhassen irenevonalberti f rated drama 
722,"Haunted World of Edward D. Wood Jr., The (1996)",mailanurmi doloresfuller paulmarco edwardd.woodjr. reference to d.w. griffith photograph film clip alcoholism documentary 
723,Two Friends (1986),nan nan nan drama 
724,"Craft, The (1996)",robintunney fairuzabalk nevecampbell peterfilardi short skirt pleated skirt witch witchcraft drama fantasy horror thriller 
725,"Great White Hype, The (1996)",samuell.jackson jeffgoldblum peterberg reginaldhudlin guitar fellatio boxing match african american comedy 
726,Last Dance (1996),sharonstone robmorrow randyquaid stevenhaft death lawyer murder rural setting drama 
727,War Stories (1995),jeanandrews judithfyfe ritagraham gaylenepreston new zealand italy england talking head documentary 
728,Cold Comfort Farm (1995),eileenatkins katebeckinsale sheilaburrell malcolmbradbury female protagonist female led relationship f rated farm comedy 
729,"Institute Benjamenta, or This Dream People Call Human Life (1995)",markrylance alicekrige gottfriedjohn timothyquay servant spit or as title separator philosophy drama 
730,Low Life (1994),nan johnl'ecuyer nan drama 
731,Heaven's Prisoners (1996),alecbaldwin kellylynch marystuartmasterson jamesleeburke based on novel villainess female full frontal nudity old flame crime thriller 
732,Original Gangstas (1996),fredwilliamson jimbrown pamgrier larrycohen drive by shooting street shootout hand to hand combat violence crime 
733,"Rock, The (1996)",seanconnery nicolascage edharris davidweisberg two word title time bomb colored smoke aircraft action adventure thriller 
734,Getting Away With Murder (1996),danaykroyd lilytomlin jacklemmon harveymiller death college waiter waitress comedy 
735,Cemetery Man (Dellamorte Dellamore) (1994),ruperteverett françoishadji-lazaro annafalchi tizianosclavi cult film cemetery death insanity horror 
736,Twister (1996),helenhunt billpaxton caryelwes michaelcrichton eating steak crashing a car into a house cow action adventure romance thriller 
737,Barb Wire (1996),amiraboulela adrianaalexander davidandriole chriswarner bounty hunter female frontal nudity rottweiler female nudity action sci-fi 
738,"Garçu, Le (1995)",gérarddepardieu géraldinepailhas antoinepialat mauricepialat vacation mauritius paris france nickname drama 
739,Honey Moon (Honigmond) (1996),veronicaferres anicadobra juliastemberger gabrielbarylli nan comedy 
741,Ghost in the Shell (Kôkaku kidôtai) (1995),atsukotanaka akioôtsuka kôichiyamadera shirowmasamune anime cyborg hacker investigation animation sci-fi 
742,Thinner (1996),robertjohnburke lucindajenney bethanyjoylenz stephenking female stockinged legs pantyhose psychological thriller gypsy horror thriller 
743,Spy Hard (1996),leslienielsen nicollettesheridan charlesdurning jasonfriedberg spy spoof spy hero parody james bond spoof comedy 
744,Brothers in Trouble (1995),ompuri pavanmalhotra angelineball udayanprasad prostitute immigrant pakistani england drama 
745,Wallace & Gromit: A Close Shave (1995),petersallis annereid bobbaker sheep rustling dog animal that acts human knitting animation children comedy 
746,Force of Evil (1948),nan nan nan film-noir 
747,"Stupids, The (1996)",tomarnold jessicalundy bughall jamesmarshall stupidity garbage paranoia warehouse comedy 
748,"Arrival, The (1996)",charliesheen lindsaycrouse richardschiff davidtwohy alien conspiracy alien invasion broadcast signal intrusion action sci-fi thriller 
749,"Man from Down Under, The (1943)",nan nan nan drama 
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),nan nan nan comedy war 
751,Careful (1992),gosiadobrowolska kylemcculloch brentneale guymaddin trying to avoid making noise sense of hearing village count comedy horror 
752,Vermont Is For Lovers (1992),georgethrush maryacohn anno'brien johno'brien claim in title state name in title wedding comedy documentary romance 
753,"Month by the Lake, A (1995)",vanessaredgrave edwardfox umathurman h.e.bates period drama villa switzerland nanny comedy drama romance 
754,Gold Diggers: The Secret of Bear Mountain (1995),christinaricci annachlumsky pollydraper barryglasser riverboat mountain gold cave adventure children 
755,Kim (1950),nan nan nan children drama 
756,Carmen Miranda: Bananas Is My Business (1994),cynthiaadler ericbarreto mariocunha helenasolberg tutti frutti hat brazilian carmen miranda singer documentary 
757,Ashes of Time (Dung che sai duk) (1994),brigittelin lesliecheung maggiecheung louischa swordsman desert china wuxia drama 
758,"Jar, The (Khomreh) (1992)",behzadkhodaveisi fatemehazrah abbaskhavaninzadeh ebrahimforouzesh nan drama 
759,Maya Lin: A Strong Clear Vision (1994),mayalin freidaleemock vietnam war veteran memorial vietnam civil rights documentary 
760,Stalingrad (1993),dominiquehorwitz thomaskretschmann jochennickel jürgenbüscher eastern front wehrmacht year 1943 freeze drama war 
761,"Phantom, The (1996)",billyzane kristyswanson treatwilliams leefalk cult film interwar period character name as title the phantom character action adventure 
762,Striptease (1996),demimoore burtreynolds armandassante carlhiaasen stripper striptease female nudity stripping comedy crime 
763,"Last of the High Kings, The (a.k.a. Summer Fling) (1996)",catherineo'hara jaredleto christinaricci davidkeating male objectification bare chested male post coital scene male nudity comedy drama 
764,Heavy (1995),pruitttaylorvince shelleywinters livtyler jamesmangold loneliness hallucination thirty something domineering mother drama romance 
765,Jack (1996),robinwilliams dianelane briankerwin jamesdemonaco father son relationship character name as title boy aging disorder comedy drama 
766,I Shot Andy Warhol (1996),lilitaylor jaredharris marthaplimpton jeremiahnewton true crime misandry shooting feminist drama 
767,"Grass Harp, The (1995)",piperlaurie sissyspacek waltermatthau charlesmatthau gold nugget maid judge wind comedy drama 
768,Someone Else's America (1995),tomconti predrag'miki'manojlovic maríacasares goranpaskaljevic airplane new york city new york well american dream drama 
769,Marlene Dietrich: Shadow and Light (1996),marlenedietrich mariariva davidriva chrishunt actress movie actress german woman female singer documentary 
770,Costa Brava (1946),nan nan nan drama 
771,"Life Is Rosy (a.k.a. Life Is Beautiful) (Vie est belle, La) (1987)",nan nan nan comedy drama 
772,Quartier Mozart (1992),paulineandela jimmybiyona essindimindja jean-pierrebekolo nan comedy 
773,Touki Bouki (1973),nan nan nan drama 
774,Wend Kuuni (a.k.a. God's Gift) (1982),nan nan nan drama 
775,Spirits of the Dead (1968),nan nan nan horror mystery 
776,Babyfever (1994),victoriafoyt mattsalinger francesfisher victoriafoyt boyfriend party baby shower f rated comedy drama 
777,Pharaoh's Army (1995),chriscooper patriciaclarkson kriskristofferson robbyhenson american civil war shot in the back woman fights man plucking chicken war 
778,Trainspotting (1996),ewanmcgregor ewenbremner jonnyleemiller irvinewelsh drugs drug culture filthy toilet scotland comedy crime drama 
779,'Til There Was You (1997),johnplumpis janelmoloney yvonnezima winnieholzman alcoholic father architect brief encounter growing up drama romance 
780,Independence Day (a.k.a. ID4) (1996),willsmith billpullman jeffgoldblum deandevlin trailer trash product placement alien invasion vomiting action adventure sci-fi thriller 
781,Stealing Beauty (1996),carlocecchi sinéadcusack josephfiennes bernardobertolucci female nudity skinny dipping sex scene hand under skirt drama 
782,"Fan, The (1996)",robertdeniro wesleysnipes ellenbarkin peterabrahams crazy fan obsessive fan swearing in front of a child san francisco giants drama thriller 
783,"Hunchback of Notre Dame, The (1996)",jasonalexander marykaybergman coreyburton kirkwise cathedral 15th century cruelty horse riding animation children drama musical romance 
784,"Cable Guy, The (1996)",jimcarrey matthewbroderick lesliemann louholtzjr. television obsession younger version of character kiss comedy thriller 
785,Kingpin (1996),woodyharrelson randyquaid vanessaangel peterfarrelly bowling amish on the road private bowling alley comedy 
786,Eraser (1996),arnoldschwarzenegger jamescaan vanessawilliams tonypuryear witness protection program rogue agent fbi treason action drama thriller 
787,"Gate of Heavenly Peace, The (1995)",deborahamos carmahinton edwardstanley carmahinton nan documentary 
788,"Nutty Professor, The (1996)",eddiemurphy jadapinkettsmith jamescoburn jerrylewis overweight scientist teacher fat insult comedy fantasy romance sci-fi 
789,"I, the Worst of All (Yo, la peor de todas) (1990)",assumptaserna dominiquesanda héctoralterio maríaluisabemberg feminist film viceroy archbishop bishop drama 
790,"Unforgettable Summer, An (Un été inoubliable) (1994)",kristinscottthomas claudiubleont olgatudorache lucianpintilie border town card game goose sheep drama 
